version,filepath,label
4.1,django/__init__.py,clean
4.1,django/__main__.py,clean
4.1,django/apps/__init__.py,clean
4.1,django/apps/config.py,clean
4.1,django/apps/registry.py,clean
4.1,django/conf/__init__.py,buggy
4.1,django/conf/global_settings.py,clean
4.1,django/conf/locale/__init__.py,clean
4.1,django/conf/locale/ar/__init__.py,clean
4.1,django/conf/locale/ar/formats.py,clean
4.1,django/conf/locale/ar_DZ/__init__.py,clean
4.1,django/conf/locale/ar_DZ/formats.py,clean
4.1,django/conf/locale/az/__init__.py,clean
4.1,django/conf/locale/az/formats.py,clean
4.1,django/conf/locale/bg/__init__.py,clean
4.1,django/conf/locale/bg/formats.py,clean
4.1,django/conf/locale/bn/__init__.py,clean
4.1,django/conf/locale/bn/formats.py,clean
4.1,django/conf/locale/bs/__init__.py,clean
4.1,django/conf/locale/bs/formats.py,clean
4.1,django/conf/locale/ca/__init__.py,clean
4.1,django/conf/locale/ca/formats.py,clean
4.1,django/conf/locale/cs/__init__.py,clean
4.1,django/conf/locale/cs/formats.py,clean
4.1,django/conf/locale/cy/__init__.py,clean
4.1,django/conf/locale/cy/formats.py,clean
4.1,django/conf/locale/da/__init__.py,clean
4.1,django/conf/locale/da/formats.py,clean
4.1,django/conf/locale/de/__init__.py,clean
4.1,django/conf/locale/de/formats.py,clean
4.1,django/conf/locale/de_CH/__init__.py,clean
4.1,django/conf/locale/de_CH/formats.py,clean
4.1,django/conf/locale/el/__init__.py,clean
4.1,django/conf/locale/el/formats.py,clean
4.1,django/conf/locale/en/__init__.py,clean
4.1,django/conf/locale/en/formats.py,clean
4.1,django/conf/locale/en_AU/__init__.py,clean
4.1,django/conf/locale/en_AU/formats.py,clean
4.1,django/conf/locale/en_GB/__init__.py,clean
4.1,django/conf/locale/en_GB/formats.py,clean
4.1,django/conf/locale/eo/__init__.py,clean
4.1,django/conf/locale/eo/formats.py,clean
4.1,django/conf/locale/es/__init__.py,clean
4.1,django/conf/locale/es/formats.py,buggy
4.1,django/conf/locale/es_AR/__init__.py,clean
4.1,django/conf/locale/es_AR/formats.py,clean
4.1,django/conf/locale/es_CO/__init__.py,clean
4.1,django/conf/locale/es_CO/formats.py,clean
4.1,django/conf/locale/es_MX/__init__.py,clean
4.1,django/conf/locale/es_MX/formats.py,clean
4.1,django/conf/locale/es_NI/__init__.py,clean
4.1,django/conf/locale/es_NI/formats.py,clean
4.1,django/conf/locale/es_PR/__init__.py,clean
4.1,django/conf/locale/es_PR/formats.py,clean
4.1,django/conf/locale/et/__init__.py,clean
4.1,django/conf/locale/et/formats.py,clean
4.1,django/conf/locale/eu/__init__.py,clean
4.1,django/conf/locale/eu/formats.py,clean
4.1,django/conf/locale/fa/__init__.py,clean
4.1,django/conf/locale/fa/formats.py,clean
4.1,django/conf/locale/fi/__init__.py,clean
4.1,django/conf/locale/fi/formats.py,clean
4.1,django/conf/locale/fr/__init__.py,clean
4.1,django/conf/locale/fr/formats.py,buggy
4.1,django/conf/locale/fy/__init__.py,clean
4.1,django/conf/locale/fy/formats.py,clean
4.1,django/conf/locale/ga/__init__.py,clean
4.1,django/conf/locale/ga/formats.py,clean
4.1,django/conf/locale/gd/__init__.py,clean
4.1,django/conf/locale/gd/formats.py,clean
4.1,django/conf/locale/gl/__init__.py,clean
4.1,django/conf/locale/gl/formats.py,clean
4.1,django/conf/locale/he/__init__.py,clean
4.1,django/conf/locale/he/formats.py,clean
4.1,django/conf/locale/hi/__init__.py,clean
4.1,django/conf/locale/hi/formats.py,clean
4.1,django/conf/locale/hr/__init__.py,clean
4.1,django/conf/locale/hr/formats.py,clean
4.1,django/conf/locale/hu/__init__.py,clean
4.1,django/conf/locale/hu/formats.py,clean
4.1,django/conf/locale/id/__init__.py,clean
4.1,django/conf/locale/id/formats.py,clean
4.1,django/conf/locale/ig/__init__.py,clean
4.1,django/conf/locale/ig/formats.py,clean
4.1,django/conf/locale/is/__init__.py,clean
4.1,django/conf/locale/is/formats.py,clean
4.1,django/conf/locale/it/__init__.py,clean
4.1,django/conf/locale/it/formats.py,clean
4.1,django/conf/locale/ja/__init__.py,clean
4.1,django/conf/locale/ja/formats.py,clean
4.1,django/conf/locale/ka/__init__.py,clean
4.1,django/conf/locale/ka/formats.py,clean
4.1,django/conf/locale/km/__init__.py,clean
4.1,django/conf/locale/km/formats.py,clean
4.1,django/conf/locale/kn/__init__.py,clean
4.1,django/conf/locale/kn/formats.py,clean
4.1,django/conf/locale/ko/__init__.py,clean
4.1,django/conf/locale/ko/formats.py,clean
4.1,django/conf/locale/ky/__init__.py,clean
4.1,django/conf/locale/ky/formats.py,clean
4.1,django/conf/locale/lt/__init__.py,clean
4.1,django/conf/locale/lt/formats.py,clean
4.1,django/conf/locale/lv/__init__.py,clean
4.1,django/conf/locale/lv/formats.py,clean
4.1,django/conf/locale/mk/__init__.py,clean
4.1,django/conf/locale/mk/formats.py,clean
4.1,django/conf/locale/ml/__init__.py,clean
4.1,django/conf/locale/ml/formats.py,clean
4.1,django/conf/locale/mn/__init__.py,clean
4.1,django/conf/locale/mn/formats.py,clean
4.1,django/conf/locale/ms/__init__.py,clean
4.1,django/conf/locale/ms/formats.py,clean
4.1,django/conf/locale/nb/__init__.py,clean
4.1,django/conf/locale/nb/formats.py,clean
4.1,django/conf/locale/nl/__init__.py,clean
4.1,django/conf/locale/nl/formats.py,clean
4.1,django/conf/locale/nn/__init__.py,clean
4.1,django/conf/locale/nn/formats.py,clean
4.1,django/conf/locale/pl/__init__.py,clean
4.1,django/conf/locale/pl/formats.py,clean
4.1,django/conf/locale/pt/__init__.py,clean
4.1,django/conf/locale/pt/formats.py,clean
4.1,django/conf/locale/pt_BR/__init__.py,clean
4.1,django/conf/locale/pt_BR/formats.py,clean
4.1,django/conf/locale/ro/__init__.py,clean
4.1,django/conf/locale/ro/formats.py,clean
4.1,django/conf/locale/ru/__init__.py,clean
4.1,django/conf/locale/ru/formats.py,clean
