version,filepath,label
1.1,django/__init__.py,clean
1.1,django/bin/__init__.py,clean
1.1,django/bin/compile-messages.py,clean
1.1,django/bin/daily_cleanup.py,clean
1.1,django/bin/django-admin.py,clean
1.1,django/bin/make-messages.py,clean
1.1,django/bin/profiling/__init__.py,clean
1.1,django/bin/profiling/gather_profile_stats.py,clean
1.1,django/bin/unique-messages.py,clean
1.1,django/conf/__init__.py,clean
1.1,django/conf/app_template/__init__.py,clean
1.1,django/conf/app_template/models.py,clean
1.1,django/conf/app_template/tests.py,clean
1.1,django/conf/app_template/views.py,clean
1.1,django/conf/global_settings.py,buggy
1.1,django/conf/project_template/__init__.py,clean
1.1,django/conf/project_template/manage.py,clean
1.1,django/conf/project_template/settings.py,clean
1.1,django/conf/project_template/urls.py,clean
1.1,django/conf/urls/__init__.py,clean
1.1,django/conf/urls/defaults.py,clean
1.1,django/conf/urls/i18n.py,clean
1.1,django/conf/urls/shortcut.py,clean
1.1,django/contrib/__init__.py,clean
1.1,django/contrib/admin/__init__.py,clean
1.1,django/contrib/admin/actions.py,buggy
1.1,django/contrib/admin/filterspecs.py,buggy
1.1,django/contrib/admin/helpers.py,buggy
1.1,django/contrib/admin/models.py,clean
1.1,django/contrib/admin/options.py,buggy
1.1,django/contrib/admin/sites.py,buggy
1.1,django/contrib/admin/templatetags/__init__.py,clean
1.1,django/contrib/admin/templatetags/admin_list.py,buggy
1.1,django/contrib/admin/templatetags/admin_modify.py,clean
1.1,django/contrib/admin/templatetags/adminmedia.py,clean
1.1,django/contrib/admin/templatetags/log.py,buggy
1.1,django/contrib/admin/util.py,buggy
1.1,django/contrib/admin/validation.py,buggy
1.1,django/contrib/admin/views/__init__.py,clean
1.1,django/contrib/admin/views/decorators.py,clean
1.1,django/contrib/admin/views/main.py,buggy
1.1,django/contrib/admin/views/template.py,clean
1.1,django/contrib/admin/widgets.py,buggy
1.1,django/contrib/admindocs/__init__.py,clean
1.1,django/contrib/admindocs/urls.py,clean
1.1,django/contrib/admindocs/utils.py,buggy
1.1,django/contrib/admindocs/views.py,buggy
1.1,django/contrib/auth/__init__.py,clean
1.1,django/contrib/auth/admin.py,clean
1.1,django/contrib/auth/backends.py,clean
1.1,django/contrib/auth/create_superuser.py,clean
1.1,django/contrib/auth/decorators.py,clean
1.1,django/contrib/auth/forms.py,buggy
1.1,django/contrib/auth/handlers/__init__.py,clean
1.1,django/contrib/auth/handlers/modpython.py,clean
1.1,django/contrib/auth/management/__init__.py,clean
