version,filepath,label
1.6,django/__init__.py,clean
1.6,django/bin/daily_cleanup.py,clean
1.6,django/bin/django-2to3.py,clean
1.6,django/bin/django-admin.py,clean
1.6,django/bin/profiling/__init__.py,clean
1.6,django/bin/profiling/gather_profile_stats.py,clean
1.6,django/bin/unique-messages.py,clean
1.6,django/conf/__init__.py,buggy
1.6,django/conf/app_template/__init__.py,clean
1.6,django/conf/app_template/admin.py,clean
1.6,django/conf/app_template/models.py,clean
1.6,django/conf/app_template/tests.py,clean
1.6,django/conf/app_template/views.py,clean
1.6,django/conf/global_settings.py,buggy
1.6,django/conf/locale/__init__.py,buggy
1.6,django/conf/locale/ar/__init__.py,clean
1.6,django/conf/locale/ar/formats.py,clean
1.6,django/conf/locale/bg/__init__.py,clean
1.6,django/conf/locale/bg/formats.py,clean
1.6,django/conf/locale/bn/__init__.py,clean
1.6,django/conf/locale/bn/formats.py,clean
1.6,django/conf/locale/bs/__init__.py,clean
1.6,django/conf/locale/bs/formats.py,clean
1.6,django/conf/locale/ca/__init__.py,clean
1.6,django/conf/locale/ca/formats.py,clean
1.6,django/conf/locale/cs/__init__.py,clean
1.6,django/conf/locale/cs/formats.py,buggy
1.6,django/conf/locale/cy/__init__.py,clean
1.6,django/conf/locale/cy/formats.py,clean
1.6,django/conf/locale/da/__init__.py,clean
1.6,django/conf/locale/da/formats.py,clean
1.6,django/conf/locale/de/__init__.py,clean
1.6,django/conf/locale/de/formats.py,buggy
1.6,django/conf/locale/de_CH/__init__.py,clean
1.6,django/conf/locale/de_CH/formats.py,buggy
1.6,django/conf/locale/el/__init__.py,clean
1.6,django/conf/locale/el/formats.py,buggy
1.6,django/conf/locale/en/__init__.py,clean
1.6,django/conf/locale/en/formats.py,buggy
1.6,django/conf/locale/en_GB/__init__.py,clean
1.6,django/conf/locale/en_GB/formats.py,buggy
1.6,django/conf/locale/es/__init__.py,clean
1.6,django/conf/locale/es/formats.py,clean
1.6,django/conf/locale/es_AR/__init__.py,clean
1.6,django/conf/locale/es_AR/formats.py,clean
1.6,django/conf/locale/es_MX/__init__.py,clean
1.6,django/conf/locale/es_MX/formats.py,clean
1.6,django/conf/locale/es_NI/__init__.py,clean
1.6,django/conf/locale/es_NI/formats.py,clean
1.6,django/conf/locale/es_PR/__init__.py,clean
1.6,django/conf/locale/es_PR/formats.py,clean
1.6,django/conf/locale/et/__init__.py,clean
1.6,django/conf/locale/et/formats.py,buggy
1.6,django/conf/locale/eu/__init__.py,clean
1.6,django/conf/locale/eu/formats.py,buggy
1.6,django/conf/locale/fa/__init__.py,clean
1.6,django/conf/locale/fa/formats.py,clean
1.6,django/conf/locale/fi/__init__.py,clean
1.6,django/conf/locale/fi/formats.py,buggy
1.6,django/conf/locale/fr/__init__.py,clean
1.6,django/conf/locale/fr/formats.py,buggy
1.6,django/conf/locale/fy_NL/__init__.py,clean
1.6,django/conf/locale/fy_NL/formats.py,clean
1.6,django/conf/locale/ga/__init__.py,clean
1.6,django/conf/locale/ga/formats.py,clean
1.6,django/conf/locale/gl/__init__.py,clean
1.6,django/conf/locale/gl/formats.py,clean
1.6,django/conf/locale/he/__init__.py,clean
1.6,django/conf/locale/he/formats.py,clean
1.6,django/conf/locale/hi/__init__.py,clean
1.6,django/conf/locale/hi/formats.py,clean
1.6,django/conf/locale/hr/__init__.py,clean
