filepath,label
core/src/main/java/org/apache/calcite/tools/PigRelBuilder.java,clean
core/src/main/java/org/apache/calcite/interpreter/Bindables.java,clean
core/src/main/java/org/apache/calcite/rel/rules/ProjectSortTransposeRule.java,clean
core/src/main/java/org/apache/calcite/rex/RexUtil.java,clean
core/src/main/java/org/apache/calcite/util/Source.java,clean
druid/src/main/java/org/apache/calcite/adapter/druid/DruidSchemaFactory.java,clean
druid/src/main/java/org/apache/calcite/adapter/druid/QueryType.java,clean
core/src/main/java/org/apache/calcite/rel/type/RelDataTypeFactoryImpl.java,clean
file/src/main/java/org/apache/calcite/adapter/file/FileEnumerator.java,clean
file/src/main/java/org/apache/calcite/adapter/file/FileTable.java,clean
core/src/main/java/org/apache/calcite/rex/LogicVisitor.java,clean
core/src/main/java/org/apache/calcite/rex/RexBiVisitor.java,clean
core/src/main/java/org/apache/calcite/sql/validate/GroupByScope.java,clean
core/src/main/java/org/apache/calcite/rex/RexShuttle.java,clean
core/src/main/java/org/apache/calcite/sql/validate/SqlDelegatingConformance.java,clean
core/src/main/java/org/apache/calcite/rex/RexVisitor.java,clean
core/src/main/java/org/apache/calcite/rex/RexVisitorImpl.java,clean
cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraEnumerator.java,clean
core/src/main/java/org/apache/calcite/rel/metadata/RelMdNodeTypes.java,clean
core/src/main/java/org/apache/calcite/rel/rules/UnionMergeRule.java,clean
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoin.java,clean
core/src/main/java/org/apache/calcite/sql/fun/SqlOverlapsOperator.java,clean
core/src/main/java/org/apache/calcite/schema/TranslatableTable.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/Holder.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableBiRel.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableCalc.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableCollect.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableCorrelate.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableExchange.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableFilter.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableIntersect.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableJoin.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableLeafRel.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableMinus.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableProject.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableRel.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableRelType.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableRelVisitor.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableSample.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableScan.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableSemiJoin.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableSetOp.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableSingleRel.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableSort.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableTableFunctionScan.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableTableModify.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableUncollect.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableUnion.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableValues.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableWindow.java,clean
core/src/main/java/org/apache/calcite/sql/SqlIdentifier.java,clean
core/src/main/java/org/apache/calcite/sql/validate/SqlNameMatcher.java,clean
core/src/main/java/org/apache/calcite/sql/validate/SqlNameMatchers.java,clean
core/src/main/java/org/apache/calcite/sql/validate/SqlValidatorScope.java,clean
core/src/main/java/org/apache/calcite/sql/validate/WithScope.java,clean
core/src/main/java/org/apache/calcite/materialize/CachingLatticeStatisticProvider.java,clean
core/src/main/java/org/apache/calcite/rel/BiRel.java,clean
core/src/main/java/org/apache/calcite/sql/SqlNode.java,clean
core/src/main/java/org/apache/calcite/sql/SqlPostfixOperator.java,clean
core/src/main/java/org/apache/calcite/sql/SqlPrefixOperator.java,clean
core/src/main/java/org/apache/calcite/sql2rel/ReflectiveConvertletTable.java,clean
core/src/main/java/org/apache/calcite/tools/RelRunners.java,clean
core/src/main/java/org/apache/calcite/util/Closer.java,clean
core/src/main/java/org/apache/calcite/util/SaffronProperties.java,clean
core/src/main/java/org/apache/calcite/rel/convert/ConverterImpl.java,clean
core/src/main/java/org/apache/calcite/rel/metadata/CachingRelMetadataProvider.java,clean
core/src/main/java/org/apache/calcite/rel/metadata/ChainedRelMetadataProvider.java,clean
core/src/main/java/org/apache/calcite/rel/metadata/MetadataFactoryImpl.java,clean
core/src/main/java/org/apache/calcite/rel/rules/CalcRelSplitter.java,clean
core/src/main/java/org/apache/calcite/rel/rules/JoinCommuteRule.java,clean
core/src/main/java/org/apache/calcite/rel/rules/ReduceDecimalsRule.java,clean
core/src/main/java/org/apache/calcite/sql/fun/SqlLikeOperator.java,clean
core/src/main/java/org/apache/calcite/sql/type/BasicSqlType.java,clean
core/src/main/java/org/apache/calcite/sql/validate/SetopNamespace.java,clean
core/src/main/java/org/apache/calcite/sql/validate/SqlIdentifierMoniker.java,clean
core/src/main/java/org/apache/calcite/rel/metadata/RelMdMaxRowCount.java,clean
core/src/main/java/org/apache/calcite/rel/metadata/RelMdMinRowCount.java,clean
core/src/main/java/org/apache/calcite/sql/SqlExplain.java,clean
core/src/main/java/org/apache/calcite/sql/SqlExplainFormat.java,clean
core/src/main/java/org/apache/calcite/rel/externalize/RelJsonWriter.java,clean
druid/src/main/java/org/apache/calcite/adapter/druid/DruidTable.java,clean
druid/src/main/java/org/apache/calcite/adapter/druid/DruidTableFactory.java,clean
linq4j/src/main/java/org/apache/calcite/linq4j/DefaultEnumerable.java,clean
linq4j/src/main/java/org/apache/calcite/linq4j/ExtendedEnumerable.java,clean
core/src/main/java/org/apache/calcite/schema/ModifiableTable.java,clean
core/src/main/java/org/apache/calcite/sql/SqlInsert.java,clean
core/src/main/java/org/apache/calcite/sql/SqlValuesOperator.java,clean
core/src/main/java/org/apache/calcite/sql/SqlWriter.java,clean
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableModifyRule.java,clean
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcRules.java,clean
core/src/main/java/org/apache/calcite/rel/core/TableModify.java,clean
core/src/main/java/org/apache/calcite/rel/logical/LogicalTableModify.java,clean
core/src/main/java/org/apache/calcite/sql/fun/SqlRowOperator.java,clean
core/src/main/java/org/apache/calcite/rel/mutable/MutableMultiRel.java,clean
linq4j/src/main/java/org/apache/calcite/linq4j/tree/Types.java,clean
druid/src/main/java/org/apache/calcite/adapter/druid/DruidSchema.java,clean
core/src/main/java/org/apache/calcite/rex/RexCallBinding.java,clean
core/src/main/java/org/apache/calcite/util/Pair.java,clean
core/src/main/java/org/apache/calcite/rel/type/DynamicRecordTypeImpl.java,clean
core/src/main/java/org/apache/calcite/rel/type/RelDataType.java,clean
core/src/main/java/org/apache/calcite/rel/type/RelDataTypeHolder.java,clean
core/src/main/java/org/apache/calcite/rel/type/RelDataTypeImpl.java,clean
core/src/main/java/org/apache/calcite/sql/validate/CatalogScope.java,clean
core/src/main/java/org/apache/calcite/sql/validate/ParameterScope.java,clean
core/src/main/java/org/apache/calcite/sql/SqlStateCodes.java,clean
file/src/main/java/org/apache/calcite/adapter/file/FileSchema.java,clean
file/src/main/java/org/apache/calcite/adapter/file/FileSchemaFactory.java,clean
core/src/main/java/org/apache/calcite/sql2rel/InitializerContext.java,clean
core/src/main/java/org/apache/calcite/sql2rel/InitializerExpressionFactory.java,clean
